{'loss': 0.6931, 'grad_norm': 49.546356201171875, 'learning_rate': 2.5000000000000004e-07, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -153.86524963378906, 'logps/rejected': -184.30587768554688, 'logits/chosen': -3.123195171356201, 'logits/rejected': -3.171485185623169, 'epoch': 0.0}
{'loss': 0.6931, 'grad_norm': 67.2744369506836, 'learning_rate': 5.000000000000001e-07, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -183.73483276367188, 'logps/rejected': -257.53515625, 'logits/chosen': -3.25705885887146, 'logits/rejected': -3.3055124282836914, 'epoch': 0.0}
{'loss': 0.6858, 'grad_norm': 65.87542724609375, 'learning_rate': 7.5e-07, 'rewards/chosen': -0.005699730012565851, 'rewards/rejected': -0.020863818004727364, 'rewards/accuracies': 0.5, 'rewards/margins': 0.015164090320467949, 'logps/chosen': -128.52955627441406, 'logps/rejected': -219.91635131835938, 'logits/chosen': -3.2554948329925537, 'logits/rejected': -3.19388747215271, 'epoch': 0.0}
{'loss': 0.6891, 'grad_norm': 55.85112762451172, 'learning_rate': 1.0000000000000002e-06, 'rewards/chosen': 0.0032543418928980827, 'rewards/rejected': -0.0056583876721560955, 'rewards/accuracies': 0.3125, 'rewards/margins': 0.008912730030715466, 'logps/chosen': -188.88507080078125, 'logps/rejected': -199.1680908203125, 'logits/chosen': -3.1907660961151123, 'logits/rejected': -3.258937358856201, 'epoch': 0.0}
{'loss': 0.6871, 'grad_norm': 60.92170333862305, 'learning_rate': 1.25e-06, 'rewards/chosen': 0.006837368477135897, 'rewards/rejected': -0.006049155257642269, 'rewards/accuracies': 0.375, 'rewards/margins': 0.012886525131762028, 'logps/chosen': -163.9976806640625, 'logps/rejected': -215.07415771484375, 'logits/chosen': -3.277629852294922, 'logits/rejected': -3.1567153930664062, 'epoch': 0.0}
{'loss': 0.6923, 'grad_norm': 54.308837890625, 'learning_rate': 1.5e-06, 'rewards/chosen': -0.014074219390749931, 'rewards/rejected': -0.016259431838989258, 'rewards/accuracies': 0.25, 'rewards/margins': 0.002185213379561901, 'logps/chosen': -225.6394805908203, 'logps/rejected': -239.5496368408203, 'logits/chosen': -3.1370530128479004, 'logits/rejected': -3.0704100131988525, 'epoch': 0.0}
{'loss': 0.6737, 'grad_norm': 79.77945709228516, 'learning_rate': 1.7500000000000002e-06, 'rewards/chosen': -0.0016337400302290916, 'rewards/rejected': -0.04198341816663742, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.040349673479795456, 'logps/chosen': -224.00042724609375, 'logps/rejected': -292.1566467285156, 'logits/chosen': -2.7655162811279297, 'logits/rejected': -2.873878240585327, 'epoch': 0.0}
{'loss': 0.679, 'grad_norm': 66.33683776855469, 'learning_rate': 2.0000000000000003e-06, 'rewards/chosen': -0.006451344583183527, 'rewards/rejected': -0.03574113920331001, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.029289793223142624, 'logps/chosen': -215.53492736816406, 'logps/rejected': -262.4628601074219, 'logits/chosen': -2.582289934158325, 'logits/rejected': -3.0049595832824707, 'epoch': 0.0}
{'loss': 0.6685, 'grad_norm': 66.00501251220703, 'learning_rate': 2.25e-06, 'rewards/chosen': -0.01502758264541626, 'rewards/rejected': -0.06645826995372772, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.05143068730831146, 'logps/chosen': -185.63702392578125, 'logps/rejected': -237.01980590820312, 'logits/chosen': -3.258848190307617, 'logits/rejected': -3.2711029052734375, 'epoch': 0.0}
{'loss': 0.6727, 'grad_norm': 53.6799430847168, 'learning_rate': 2.5e-06, 'rewards/chosen': -0.02024564892053604, 'rewards/rejected': -0.06298992782831192, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.04274428263306618, 'logps/chosen': -225.98696899414062, 'logps/rejected': -302.29144287109375, 'logits/chosen': -3.06793212890625, 'logits/rejected': -3.210064172744751, 'epoch': 0.0}
{'loss': 0.6458, 'grad_norm': 55.29307556152344, 'learning_rate': 2.7500000000000004e-06, 'rewards/chosen': -0.011918282136321068, 'rewards/rejected': -0.11122055351734161, 'rewards/accuracies': 0.75, 'rewards/margins': 0.099302276968956, 'logps/chosen': -208.96734619140625, 'logps/rejected': -258.8594970703125, 'logits/chosen': -3.2226133346557617, 'logits/rejected': -3.236008644104004, 'epoch': 0.0}
